ServiceName                                              Action                                                                           AccessLevel             Description
Amazon Kinesis Analytics V2                              kinesisanalytics:AddApplicationInputProcessingConfiguration                      Write                   Grants permission to add input processing configuration to the application
Amazon Kinesis Analytics                                 kinesisanalytics:AddApplicationOutput                                            Write                   Grants permission to add output to the application
Amazon Kinesis Analytics V2                              kinesisanalytics:AddApplicationOutput                                            Write                   Grants permission to add output to the application
Amazon Kinesis Analytics V2                              kinesisanalytics:AddApplicationReferenceDataSource                               Write                   Grants permission to add reference data source to the application
Amazon Kinesis Analytics                                 kinesisanalytics:AddApplicationReferenceDataSource                               Write                   Grants permission to add reference data source to the application
Amazon Kinesis Analytics V2                              kinesisanalytics:AddApplicationVpcConfiguration                                  Write                   Grants permission to add VPC configuration to the application
Amazon Kinesis Analytics                                 kinesisanalytics:CreateApplication                                               Write                   Grants permission to create an application
Amazon Kinesis Analytics V2                              kinesisanalytics:CreateApplication                                               Write                   Grants permission to create an application
Amazon Kinesis Analytics V2                              kinesisanalytics:CreateApplicationPresignedUrl                                   Read                    Grants permission to create and return a URL that you can use to connect to an application's extension
Amazon Kinesis Analytics V2                              kinesisanalytics:CreateApplicationSnapshot                                       Write                   Grants permission to create a snapshot for an application
Amazon Kinesis Analytics                                 kinesisanalytics:DeleteApplication                                               Write                   Grants permission to delete the application
Amazon Kinesis Analytics V2                              kinesisanalytics:DeleteApplication                                               Write                   Grants permission to delete the application
Amazon Kinesis Analytics V2                              kinesisanalytics:DeleteApplicationCloudWatchLoggingOption                        Write                   Grants permission to delete the specified cloudwatch logging option of the application
Amazon Kinesis Analytics V2                              kinesisanalytics:DeleteApplicationInputProcessingConfiguration                   Write                   Grants permission to delete the specified input processing configuration of the application
Amazon Kinesis Analytics V2                              kinesisanalytics:DeleteApplicationOutput                                         Write                   Grants permission to delete the specified output of the application
Amazon Kinesis Analytics                                 kinesisanalytics:DeleteApplicationOutput                                         Write                   Grants permission to delete the specified output of the application
Amazon Kinesis Analytics V2                              kinesisanalytics:DeleteApplicationReferenceDataSource                            Write                   Grants permission to delete the specified reference data source of the application
Amazon Kinesis Analytics                                 kinesisanalytics:DeleteApplicationReferenceDataSource                            Write                   Grants permission to delete the specified reference data source of the application
Amazon Kinesis Analytics V2                              kinesisanalytics:DeleteApplicationSnapshot                                       Write                   Grants permission to delete a snapshot for an application
Amazon Kinesis Analytics V2                              kinesisanalytics:DeleteApplicationVpcConfiguration                               Write                   Grants permission to delete the specified VPC configuration of the application
Amazon Kinesis Analytics V2                              kinesisanalytics:DescribeApplication                                             Read                    Grants permission to describe the specified application
Amazon Kinesis Analytics                                 kinesisanalytics:DescribeApplication                                             Read                    Grants permission to describe the specified application
Amazon Kinesis Analytics V2                              kinesisanalytics:DescribeApplicationOperation                                    Read                    Grants permission to describe an application operation of an application
Amazon Kinesis Analytics V2                              kinesisanalytics:DescribeApplicationSnapshot                                     Read                    Grants permission to describe an application snapshot
Amazon Kinesis Analytics V2                              kinesisanalytics:DescribeApplicationVersion                                      Read                    Grants permission to describe the application version of an application
Amazon Kinesis Analytics V2                              kinesisanalytics:DiscoverInputSchema                                             Read                    Grants permission to discover the input schema for the application
Amazon Kinesis Analytics                                 kinesisanalytics:DiscoverInputSchema                                             Read                    Grants permission to discover the input schema for the application
Amazon Kinesis Analytics                                 kinesisanalytics:GetApplicationState                                             Read                    Grants permission to Kinesis Data Analytics console to display stream results for Kinesis Data Analytics SQL runtime applications
Amazon Kinesis Analytics V2                              kinesisanalytics:ListApplicationOperations                                       Read                    Grants permission to list application operations of an application
Amazon Kinesis Analytics                                 kinesisanalytics:ListApplications                                                List                    Grants permission to list applications for the account
Amazon Kinesis Analytics V2                              kinesisanalytics:ListApplications                                                List                    Grants permission to list applications for the account
Amazon Kinesis Analytics V2                              kinesisanalytics:ListApplicationSnapshots                                        Read                    Grants permission to list the snapshots for an application
Amazon Kinesis Analytics V2                              kinesisanalytics:ListApplicationVersions                                         Read                    Grants permission to list application versions of an application
Amazon Kinesis Analytics                                 kinesisanalytics:ListTagsForResource                                             Read                    Grants permission to fetch the tags associated with the application
Amazon Kinesis Analytics V2                              kinesisanalytics:ListTagsForResource                                             Read                    Grants permission to fetch the tags associated with the application
Amazon Kinesis Analytics V2                              kinesisanalytics:RollbackApplication                                             Write                   Grants permission to perform rollback operation on an application
Amazon Kinesis Analytics V2                              kinesisanalytics:StartApplication                                                Write                   Grants permission to start the application
Amazon Kinesis Analytics                                 kinesisanalytics:StartApplication                                                Write                   Grants permission to start the application
Amazon Kinesis Analytics                                 kinesisanalytics:StopApplication                                                 Write                   Grants permission to stop the application
Amazon Kinesis Analytics V2                              kinesisanalytics:StopApplication                                                 Write                   Grants permission to stop the application
Amazon Kinesis Analytics                                 kinesisanalytics:TagResource                                                     Tagging                 Grants permission to add tags to the application
Amazon Kinesis Analytics V2                              kinesisanalytics:TagResource                                                     Tagging                 Grants permission to add tags to the application
Amazon Kinesis Analytics                                 kinesisanalytics:UntagResource                                                   Tagging                 Grants permission to remove the specified tags from the application
Amazon Kinesis Analytics V2                              kinesisanalytics:UntagResource                                                   Tagging                 Grants permission to remove the specified tags from the application
Amazon Kinesis Analytics V2                              kinesisanalytics:UpdateApplication                                               Write                   Grants permission to update the application
Amazon Kinesis Analytics                                 kinesisanalytics:UpdateApplication                                               Write                   Grants permission to update the application
Amazon Kinesis Analytics V2                              kinesisanalytics:UpdateApplicationMaintenanceConfiguration                       Write                   Grants permission to update the maintenance configuration of an application
Amazon Kinesis Video Streams                             kinesisvideo:ConnectAsMaster                                                     Write                   Grants permission to connect as a master to the signaling channel specified by the endpoint
Amazon Kinesis Video Streams                             kinesisvideo:ConnectAsViewer                                                     Write                   Grants permission to connect as a viewer to the signaling channel specified by the endpoint
Amazon Kinesis Video Streams                             kinesisvideo:CreateSignalingChannel                                              Write                   Grants permission to create a signaling channel
Amazon Kinesis Video Streams                             kinesisvideo:CreateStream                                                        Write                   Grants permission to create a Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:DeleteEdgeConfiguration                                             Write                   Grants permission to delete the edge configuration of your Kinesis Video Stream
Amazon Kinesis Video Streams                             kinesisvideo:DeleteSignalingChannel                                              Write                   Grants permission to delete an existing signaling channel
Amazon Kinesis Video Streams                             kinesisvideo:DeleteStream                                                        Write                   Grants permission to delete an existing Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:DescribeEdgeConfiguration                                           Read                    Grants permission to describe the edge configuration of your Kinesis Video Stream
Amazon Kinesis Video Streams                             kinesisvideo:DescribeImageGenerationConfiguration                                Read                    Grants permission to describe the image generation configuration of your Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:DescribeMappedResourceConfiguration                                 List                    Grants permission to describe the resource mapped to the Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:DescribeMediaStorageConfiguration                                   Read                    Grants permission to describe the media storage configuration of a signaling channel
Amazon Kinesis Video Streams                             kinesisvideo:DescribeNotificationConfiguration                                   Read                    Grants permission to describe the notification configuration of your Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:DescribeSignalingChannel                                            List                    Grants permission to describe the specified signaling channel
Amazon Kinesis Video Streams                             kinesisvideo:DescribeStream                                                      List                    Grants permission to describe the specified Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:GetClip                                                             Read                    Grants permission to get a media clip from a video stream
Amazon Kinesis Video Streams                             kinesisvideo:GetDASHStreamingSessionURL                                          Read                    Grants permission to create a URL for MPEG-DASH video streaming
Amazon Kinesis Video Streams                             kinesisvideo:GetDataEndpoint                                                     Read                    Grants permission to get an endpoint for a specified stream for either reading or writing media data to Kinesis Video Streams
Amazon Kinesis Video Streams                             kinesisvideo:GetHLSStreamingSessionURL                                           Read                    Grants permission to create a URL for HLS video streaming
Amazon Kinesis Video Streams                             kinesisvideo:GetIceServerConfig                                                  Read                    Grants permission to get the ICE server configuration
Amazon Kinesis Video Streams                             kinesisvideo:GetImages                                                           Read                    Grants permission to get generated images from your Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:GetMedia                                                            Read                    Grants permission to return media content of a Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:GetMediaForFragmentList                                             Read                    Grants permission to read and return media data only from persisted storage
Amazon Kinesis Video Streams                             kinesisvideo:GetSignalingChannelEndpoint                                         Read                    Grants permission to get endpoints for a specified combination of protocol and role for a signaling channel
Amazon Kinesis Video Streams                             kinesisvideo:JoinStorageSession                                                  Write                   Grants permission to join a storage session for a channel
Amazon Kinesis Video Streams                             kinesisvideo:JoinStorageSessionAsViewer                                          Write                   Grants permission to join a storage session for a channel as viewer
Amazon Kinesis Video Streams                             kinesisvideo:ListEdgeAgentConfigurations                                         List                    Grants permission to list an edge agent configurations
Amazon Kinesis Video Streams                             kinesisvideo:ListFragments                                                       List                    Grants permission to list the fragments from archival storage based on the pagination token or selector type with range specified
Amazon Kinesis Video Streams                             kinesisvideo:ListSignalingChannels                                               List                    Grants permission to list your signaling channels
Amazon Kinesis Video Streams                             kinesisvideo:ListStreams                                                         List                    Grants permission to list your Kinesis video streams
Amazon Kinesis Video Streams                             kinesisvideo:ListTagsForResource                                                 Read                    Grants permission to fetch the tags associated with your resource
Amazon Kinesis Video Streams                             kinesisvideo:ListTagsForStream                                                   Read                    Grants permission to fetch the tags associated with Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:PutMedia                                                            Write                   Grants permission to send media data to a Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:SendAlexaOfferToMaster                                              Write                   Grants permission to send the Alexa SDP offer to the master
Amazon Kinesis Video Streams                             kinesisvideo:StartEdgeConfigurationUpdate                                        Write                   Grants permission to start edge configuration update of your Kinesis Video Stream
Amazon Kinesis Video Streams                             kinesisvideo:TagResource                                                         Tagging                 Grants permission to attach set of tags to your resource
Amazon Kinesis Video Streams                             kinesisvideo:TagStream                                                           Tagging                 Grants permission to attach set of tags to your Kinesis video streams
Amazon Kinesis Video Streams                             kinesisvideo:UntagResource                                                       Tagging                 Grants permission to remove one or more tags from your resource
Amazon Kinesis Video Streams                             kinesisvideo:UntagStream                                                         Tagging                 Grants permission to remove one or more tags from your Kinesis video streams
Amazon Kinesis Video Streams                             kinesisvideo:UpdateDataRetention                                                 Write                   Grants permission to update the data retention period of your Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:UpdateImageGenerationConfiguration                                  Write                   Grants permission to update the image generation configuration of your Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:UpdateMediaStorageConfiguration                                     Write                   Grants permission to create or update an mapping between a signaling channel and stream
Amazon Kinesis Video Streams                             kinesisvideo:UpdateNotificationConfiguration                                     Write                   Grants permission to update the notification configuration of your Kinesis video stream
Amazon Kinesis Video Streams                             kinesisvideo:UpdateSignalingChannel                                              Write                   Grants permission to update an existing signaling channel
Amazon Kinesis Video Streams                             kinesisvideo:UpdateStream                                                        Write                   Grants permission to update an existing Kinesis video stream
AWS Key Management Service                               kms:CancelKeyDeletion                                                            Write                   Controls permission to cancel the scheduled deletion of an AWS KMS key
AWS Key Management Service                               kms:ConnectCustomKeyStore                                                        Write                   Controls permission to connect or reconnect a custom key store to its associated AWS CloudHSM cluster or external key manager outside of AWS
AWS Key Management Service                               kms:CreateAlias                                                                  Write                   Controls permission to create an alias for an AWS KMS key. Aliases are optional friendly names that you can associate with KMS keys
AWS Key Management Service                               kms:CreateCustomKeyStore                                                         Write                   Controls permission to create a custom key store that is backed by an AWS CloudHSM cluster or an external key manager outside of AWS
AWS Key Management Service                               kms:CreateGrant                                                                  Permissions management  Controls permission to add a grant to an AWS KMS key. You can use grants to add permissions without changing the key policy or IAM policy
AWS Key Management Service                               kms:CreateKey                                                                    Write                   Controls permission to create an AWS KMS key that can be used to protect data keys and other sensitive information
AWS Key Management Service                               kms:Decrypt                                                                      Write                   Controls permission to decrypt ciphertext that was encrypted under an AWS KMS key
AWS Key Management Service                               kms:DeleteAlias                                                                  Write                   Controls permission to delete an alias. Aliases are optional friendly names that you can associate with AWS KMS keys
AWS Key Management Service                               kms:DeleteCustomKeyStore                                                         Write                   Controls permission to delete a custom key store
AWS Key Management Service                               kms:DeleteImportedKeyMaterial                                                    Write                   Controls permission to delete cryptographic material that you imported into an AWS KMS key. This action makes the key unusable
AWS Key Management Service                               kms:DeriveSharedSecret                                                           Write                   Controls permission to use the specified AWS KMS key to derive shared secrets
AWS Key Management Service                               kms:DescribeCustomKeyStores                                                      Read                    Controls permission to view detailed information about custom key stores in the account and region
AWS Key Management Service                               kms:DescribeKey                                                                  Read                    Controls permission to view detailed information about an AWS KMS key
AWS Key Management Service                               kms:DisableKey                                                                   Write                   Controls permission to disable an AWS KMS key, which prevents it from being used in cryptographic operations
AWS Key Management Service                               kms:DisableKeyRotation                                                           Write                   Controls permission to disable automatic rotation of a customer managed AWS KMS key
AWS Key Management Service                               kms:DisconnectCustomKeyStore                                                     Write                   Controls permission to disconnect the custom key store from its associated AWS CloudHSM cluster or external key manager outside of AWS
AWS Key Management Service                               kms:EnableKey                                                                    Write                   Controls permission to change the state of an AWS KMS key to enabled. This allows the KMS key to be used in cryptographic operations
AWS Key Management Service                               kms:EnableKeyRotation                                                            Write                   Controls permission to enable automatic rotation of the cryptographic material in an AWS KMS key
AWS Key Management Service                               kms:Encrypt                                                                      Write                   Controls permission to use the specified AWS KMS key to encrypt data and data keys
AWS Key Management Service                               kms:GenerateDataKey                                                              Write                   Controls permission to use the AWS KMS key to generate data keys. You can use the data keys to encrypt data outside of AWS KMS
AWS Key Management Service                               kms:GenerateDataKeyPair                                                          Write                   Controls permission to use the AWS KMS key to generate data key pairs
AWS Key Management Service                               kms:GenerateDataKeyPairWithoutPlaintext                                          Write                   Controls permission to use the AWS KMS key to generate data key pairs. Unlike the GenerateDataKeyPair operation, this operation returns an encrypted private key without a plaintext copy
AWS Key Management Service                               kms:GenerateDataKeyWithoutPlaintext                                              Write                   Controls permission to use the AWS KMS key to generate a data key. Unlike the GenerateDataKey operation, this operation returns an encrypted data key without a plaintext version of the data key
AWS Key Management Service                               kms:GenerateMac                                                                  Write                   Controls permission to use the AWS KMS key to generate message authentication codes
AWS Key Management Service                               kms:GenerateRandom                                                               Write                   Controls permission to get a cryptographically secure random byte string from AWS KMS
AWS Key Management Service                               kms:GetKeyPolicy                                                                 Read                    Controls permission to view the key policy for the specified AWS KMS key
AWS Key Management Service                               kms:GetKeyRotationStatus                                                         Read                    Controls permission to view the key rotation status for an AWS KMS key
AWS Key Management Service                               kms:GetParametersForImport                                                       Read                    Controls permission to get data that is required to import cryptographic material into a customer managed key, including a public key and import token
AWS Key Management Service                               kms:GetPublicKey                                                                 Read                    Controls permission to download the public key of an asymmetric AWS KMS key
AWS Key Management Service                               kms:ImportKeyMaterial                                                            Write                   Controls permission to import cryptographic material into an AWS KMS key
AWS Key Management Service                               kms:ListAliases                                                                  List                    Controls permission to view the aliases that are defined in the account. Aliases are optional friendly names that you can associate with AWS KMS keys
AWS Key Management Service                               kms:ListGrants                                                                   List                    Controls permission to view all grants for an AWS KMS key
AWS Key Management Service                               kms:ListKeyPolicies                                                              List                    Controls permission to view the names of key policies for an AWS KMS key
AWS Key Management Service                               kms:ListKeyRotations                                                             List                    Controls permission to view the list of completed key rotations for an AWS KMS key
AWS Key Management Service                               kms:ListKeys                                                                     List                    Controls permission to view the key ID and Amazon Resource Name (ARN) of all AWS KMS keys in the account
AWS Key Management Service                               kms:ListResourceTags                                                             List                    Controls permission to view all tags that are attached to an AWS KMS key
AWS Key Management Service                               kms:ListRetirableGrants                                                          List                    Controls permission to view grants in which the specified principal is the retiring principal. Other principals might be able to retire the grant and this principal might be able to retire other grants
AWS Key Management Service                               kms:PutKeyPolicy                                                                 Permissions management  Controls permission to replace the key policy for the specified AWS KMS key
AWS Key Management Service                               kms:ReEncryptFrom                                                                Write                   Controls permission to decrypt data as part of the process that decrypts and reencrypts the data within AWS KMS
AWS Key Management Service                               kms:ReEncryptTo                                                                  Write                   Controls permission to encrypt data as part of the process that decrypts and reencrypts the data within AWS KMS
AWS Key Management Service                               kms:ReplicateKey                                                                 Write                   Controls permission to replicate a multi-Region primary key
AWS Key Management Service                               kms:RetireGrant                                                                  Permissions management  Controls permission to retire a grant. The RetireGrant operation is typically called by the grant user after they complete the tasks that the grant allowed them to perform
AWS Key Management Service                               kms:RevokeGrant                                                                  Permissions management  Controls permission to revoke a grant, which denies permission for all operations that depend on the grant
AWS Key Management Service                               kms:RotateKeyOnDemand                                                            Write                   Controls permission to invoke on-demand rotation of the cryptographic material in an AWS KMS key
AWS Key Management Service                               kms:ScheduleKeyDeletion                                                          Write                   Controls permission to schedule deletion of an AWS KMS key
AWS Key Management Service                               kms:Sign                                                                         Write                   Controls permission to produce a digital signature for a message
AWS Key Management Service                               kms:SynchronizeMultiRegionKey                                                    Write                   Controls access to internal APIs that synchronize multi-Region keys
AWS Key Management Service                               kms:TagResource                                                                  Tagging                 Controls permission to create or update tags that are attached to an AWS KMS key
AWS Key Management Service                               kms:UntagResource                                                                Tagging                 Controls permission to delete tags that are attached to an AWS KMS key
AWS Key Management Service                               kms:UpdateAlias                                                                  Write                   Controls permission to associate an alias with a different AWS KMS key. An alias is an optional friendly name that you can associate with a KMS key
AWS Key Management Service                               kms:UpdateCustomKeyStore                                                         Write                   Controls permission to change the properties of a custom key store
AWS Key Management Service                               kms:UpdateKeyDescription                                                         Write                   Controls permission to delete or change the description of an AWS KMS key
AWS Key Management Service                               kms:UpdatePrimaryRegion                                                          Write                   Controls permission to update the primary Region of a multi-Region primary key
AWS Key Management Service                               kms:Verify                                                                       Write                   Controls permission to use the specified AWS KMS key to verify digital signatures
AWS Key Management Service                               kms:VerifyMac                                                                    Write                   Controls permission to use the AWS KMS key to verify message authentication codes
AWS Lake Formation                                       lakeformation:AddLFTagsToResource                                                Tagging                 Grants permission to attach Lake Formation tags to catalog resources
AWS Lake Formation                                       lakeformation:BatchGrantPermissions                                              Permissions management  Grants permission to data lake permissions to one or more principals in a batch
AWS Lake Formation                                       lakeformation:BatchRevokePermissions                                             Permissions management  Grants permission to revoke data lake permissions from one or more principals in a batch
AWS Lake Formation                                       lakeformation:CancelTransaction                                                  Write                   Grants permission to cancel the given transaction
AWS Lake Formation                                       lakeformation:CommitTransaction                                                  Write                   Grants permission to commit the given transaction
AWS Lake Formation                                       lakeformation:CreateDataCellsFilter                                              Write                   Grants permission to create a Lake Formation data cell filter
AWS Lake Formation                                       lakeformation:CreateLakeFormationIdentityCenterConfiguration                     Write                   Grants permission to create an IAM Identity Center connection with Lake Formation to allow IAM Identity Center users and groups to access Data Catalog resources
AWS Lake Formation                                       lakeformation:CreateLakeFormationOptIn                                           Write                   Grants permission to enforce Lake Formation permissions for the given databases, tables, and principals
AWS Lake Formation                                       lakeformation:CreateLFTag                                                        Write                   Grants permission to create a Lake Formation tag
AWS Lake Formation                                       lakeformation:DeleteDataCellsFilter                                              Write                   Grants permission to delete a Lake Formation data cell filter
AWS Lake Formation                                       lakeformation:DeleteLakeFormationIdentityCenterConfiguration                     Write                   Grants permission to delete an IAM Identity Center connection with Lake Formation
AWS Lake Formation                                       lakeformation:DeleteLakeFormationOptIn                                           Write                   Grants permission to remove the Lake Formation permissions enforcement of the given databases, tables, and principals
AWS Lake Formation                                       lakeformation:DeleteLFTag                                                        Write                   Grants permission to delete a Lake Formation tag
AWS Lake Formation                                       lakeformation:DeleteObjectsOnCancel                                              Write                   Grants permission to delete the specified objects if the transaction is canceled
AWS Lake Formation                                       lakeformation:DeregisterResource                                                 Write                   Grants permission to deregister a registered location
AWS Lake Formation                                       lakeformation:DescribeLakeFormationIdentityCenterConfiguration                   Read                    Grants permission to describe the IAM Identity Center connection with Lake Formation
AWS Lake Formation                                       lakeformation:DescribeResource                                                   Read                    Grants permission to describe a registered location
AWS Lake Formation                                       lakeformation:DescribeTransaction                                                Read                    Grants permission to get status of the given transaction
AWS Lake Formation                                       lakeformation:ExtendTransaction                                                  Write                   Grants permission to extend the timeout of the given transaction
AWS Lake Formation                                       lakeformation:GetDataAccess                                                      Write                   Grants permission to virtual data lake access
AWS Lake Formation                                       lakeformation:GetDataCellsFilter                                                 Read                    Grants permission to retrieve a Lake Formation data cell filter
AWS Lake Formation                                       lakeformation:GetDataLakePrincipal                                               Read                    Grants permission to retrieve the identity of the invoking principal
AWS Lake Formation                                       lakeformation:GetDataLakeSettings                                                Read                    Grants permission to retrieve data lake settings such as the list of data lake administrators and database and table default permissions
AWS Lake Formation                                       lakeformation:GetEffectivePermissionsForPath                                     Read                    Grants permission to retrieve permissions attached to resources in the given path
AWS Lake Formation                                       lakeformation:GetLFTag                                                           Read                    Grants permission to retrieve a Lake Formation tag
AWS Lake Formation                                       lakeformation:GetQueryState                                                      Read                    Grants permission to retrieve the state of the given query
AWS Lake Formation                                       lakeformation:GetQueryStatistics                                                 Read                    Grants permission to retrieve the statistics for the given query
AWS Lake Formation                                       lakeformation:GetResourceLFTags                                                  Read                    Grants permission to retrieve lakeformation tags on a catalog resource
AWS Lake Formation                                       lakeformation:GetTableObjects                                                    Read                    Grants permission to retrieve objects from a table
AWS Lake Formation                                       lakeformation:GetWorkUnitResults                                                 Read                    Grants permission to retrieve the results for the given work units
AWS Lake Formation                                       lakeformation:GetWorkUnits                                                       Read                    Grants permission to retrieve the work units for the given query
AWS Lake Formation                                       lakeformation:GrantPermissions                                                   Permissions management  Grants permission to data lake permissions to a principal
AWS Lake Formation                                       lakeformation:ListDataCellsFilter                                                List                    Grants permission to list cell filters
AWS Lake Formation                                       lakeformation:ListLakeFormationOptIns                                            List                    Grants permission to retrieve the current list of resources and principals that are opt in to enforce Lake Formation permissions
AWS Lake Formation                                       lakeformation:ListLFTags                                                         Read                    Grants permission to list Lake Formation tags
AWS Lake Formation                                       lakeformation:ListPermissions                                                    List                    Grants permission to list permissions filtered by principal or resource
AWS Lake Formation                                       lakeformation:ListResources                                                      List                    Grants permission to List registered locations
AWS Lake Formation                                       lakeformation:ListTableStorageOptimizers                                         List                    Grants permission to list all the storage optimizers for the Governed table
AWS Lake Formation                                       lakeformation:ListTransactions                                                   List                    Grants permission to list all transactions in the system
AWS Lake Formation                                       lakeformation:PutDataLakeSettings                                                Permissions management  Grants permission to overwrite data lake settings such as the list of data lake administrators and database and table default permissions
AWS Lake Formation                                       lakeformation:RegisterResource                                                   Write                   Grants permission to register a new location to be managed by Lake Formation
