ServiceName                                              Action                                                                           AccessLevel             Description
Alexa for Business                                       a4b:SendAnnouncement                                                             Write                   Grants permission to trigger an asynchronous flow to send text, SSML, or audio announcements to rooms that are identified by a search or filter
Alexa for Business                                       a4b:SendInvitation                                                               Write                   Grants permission to send an invitation to a user
Alexa for Business                                       a4b:StartDeviceSync                                                              Write                   Grants permission to restore the device and its account to its known, default settings by clearing all information and settings set by its previous users
Alexa for Business                                       a4b:StartSmartHomeApplianceDiscovery                                             Read                    Grants permission to initiate the discovery of any smart home appliances associated with the room
Alexa for Business                                       a4b:TagResource                                                                  Tagging                 Grants permission to add metadata tags to a resource
Alexa for Business                                       a4b:UntagResource                                                                Tagging                 Grants permission to remove metadata tags from a resource
Alexa for Business                                       a4b:UpdateAddressBook                                                            Write                   Grants permission to update address book details by the address book ARN
Alexa for Business                                       a4b:UpdateBusinessReportSchedule                                                 Write                   Grants permission to update the configuration of the report delivery schedule with the specified schedule ARN
Alexa for Business                                       a4b:UpdateConferenceProvider                                                     Write                   Grants permission to update an existing conference provider's settings
Alexa for Business                                       a4b:UpdateContact                                                                Write                   Grants permission to update the contact details by the contact ARN
Alexa for Business                                       a4b:UpdateDevice                                                                 Write                   Grants permission to update device name
Alexa for Business                                       a4b:UpdateGateway                                                                Write                   Grants permission to update the details of a gateway
Alexa for Business                                       a4b:UpdateGatewayGroup                                                           Write                   Grants permission to update the details of a gateway group
Alexa for Business                                       a4b:UpdateNetworkProfile                                                         Write                   Grants permission to update a network profile by the network profile ARN
Alexa for Business                                       a4b:UpdateProfile                                                                Write                   Grants permission to update an existing profile
Alexa for Business                                       a4b:UpdateRoom                                                                   Write                   Grants permission to update room details
Alexa for Business                                       a4b:UpdateSkillGroup                                                             Write                   Grants permission to update skill group details with skill group ARN
AWS IAM Access Analyzer                                  access-analyzer:ApplyArchiveRule                                                 Write                   Grants permission to apply an archive rule
AWS IAM Access Analyzer                                  access-analyzer:CancelPolicyGeneration                                           Write                   Grants permission to cancel a policy generation
AWS IAM Access Analyzer                                  access-analyzer:CheckAccessNotGranted                                            Read                    Grants permission to check that specified access is not allowed by a policy
AWS IAM Access Analyzer                                  access-analyzer:CheckNoNewAccess                                                 Read                    Grants permission to check that no new access is allowed when compared to an existing policy
AWS IAM Access Analyzer                                  access-analyzer:CheckNoPublicAccess                                              Read                    Grants permission to check that public access is not allowed by a resource policy
AWS IAM Access Analyzer                                  access-analyzer:CreateAccessPreview                                              Write                   Grants permission to create an access preview for the specified analyzer
AWS IAM Access Analyzer                                  access-analyzer:CreateAnalyzer                                                   Write                   Grants permission to create an analyzer
AWS IAM Access Analyzer                                  access-analyzer:CreateArchiveRule                                                Write                   Grants permission to create an archive rule for the specified analyzer
AWS IAM Access Analyzer                                  access-analyzer:DeleteAnalyzer                                                   Write                   Grants permission to delete the specified analyzer
AWS IAM Access Analyzer                                  access-analyzer:DeleteArchiveRule                                                Write                   Grants permission to delete archive rules for the specified analyzer
AWS IAM Access Analyzer                                  access-analyzer:GenerateFindingRecommendation                                    Write                   Grants permission to generate recommendation steps to resolve a finding
AWS IAM Access Analyzer                                  access-analyzer:GetAccessPreview                                                 Read                    Grants permission to retrieve information about an access preview
AWS IAM Access Analyzer                                  access-analyzer:GetAnalyzedResource                                              Read                    Grants permission to retrieve information about an analyzed resource
AWS IAM Access Analyzer                                  access-analyzer:GetAnalyzer                                                      Read                    Grants permission to retrieve information about analyzers
AWS IAM Access Analyzer                                  access-analyzer:GetArchiveRule                                                   Read                    Grants permission to retrieve information about archive rules for the specified analyzer
AWS IAM Access Analyzer                                  access-analyzer:GetFinding                                                       Read                    Grants permission to retrieve findings
AWS IAM Access Analyzer                                  access-analyzer:GetFindingRecommendation                                         Read                    Grants permission to retrieve recommendation steps to resolve a finding
AWS IAM Access Analyzer                                  access-analyzer:GetFindingsStatistics                                            Read                    Grants permission to retrieve statistics for findings
AWS IAM Access Analyzer                                  access-analyzer:GetGeneratedPolicy                                               Read                    Grants permission to retrieve a policy that was generated using StartPolicyGeneration
AWS IAM Access Analyzer                                  access-analyzer:ListAccessPreviewFindings                                        Read                    Grants permission to retrieve a list of findings from an access preview
AWS IAM Access Analyzer                                  access-analyzer:ListAccessPreviews                                               List                    Grants permission to retrieve a list of access previews
